location,continent,population,total_cases,cases_per_million,total_tests,tests_per_million,total_deaths,deaths_per_million,gdp_per_capita,hospital_beds_per_thousand
Qatar,Asia,2881060.0,119206.0,41375.74364990663,634745.0,220316.48073972773,199.0,69.0717999625138,116935.6,1.2
Bahrain,Asia,1701583.0,52440.0,30818.361490447423,1118837.0,657527.1379650596,190.0,111.66073003785299,43290.705,2.0
Panama,North America,4314768.0,94084.0,21805.11211726795,336345.0,77952.04747972544,2030.0,470.4772075810333,22267.037,2.3
Chile,South America,19116209.0,414739.0,21695.67198182443,2458762.0,128621.84128662749,11344.0,593.4230997369824,22767.037,2.11
San Marino,Europe,33938.0,735.0,21657.13948965761,,,42.0,1237.5508279804349,56861.47,3.8
Aruba,North America,106766.0,2211.0,20708.839892849785,,,12.0,112.39533184721728,35973.781,4.02
Kuwait,Asia,4270563.0,86478.0,20249.789079332164,621616.0,145558.3256821173,535.0,125.27622236225059,65530.537,2.0
Peru,South America,32971846.0,663437.0,20121.318048131125,584232.0,17719.117091593842,29259.0,887.3934446982435,12236.706,1.6
Brazil,South America,212559409.0,3997865.0,18808.224104537287,4797948.0,22572.26825466004,123780.0,582.3313142538893,14103.452,2.2
United States,North America,331002647.0,6114406.0,18472.377956542445,83898416.0,253467.50776890313,185744.0,561.1556332961893,54225.446,2.77
