location,continent,population,total_cases,cases_per_million,total_tests,tests_per_million,total_deaths,deaths_per_million,gdp_per_capita,hospital_beds_per_thousand
San Marino,Europe,33938.0,735.0,21657.13948965761,,,42.0,1237.5508279804349,56861.47,3.8
Peru,South America,32971846.0,663437.0,20121.318048131125,584232.0,17719.117091593842,29259.0,887.3934446982435,12236.706,1.6
Belgium,Europe,11589616.0,85817.0,7404.645675922308,2281853.0,196887.7139673998,9898.0,854.0403754533369,42658.576,5.64
Andorra,Europe,77265.0,1199.0,15518.022390474342,,,53.0,685.9509480359801,9866.667,2.375
Spain,Europe,46754783.0,479554.0,10256.790198341847,6416533.0,137238.00193875353,29194.0,624.4067050851247,34272.36,2.97
United Kingdom,Europe,67886004.0,338676.0,4988.892850432027,13447568.0,198090.43407533606,41514.0,611.5251679860255,39753.244,2.54
Chile,South America,19116209.0,414739.0,21695.67198182443,2458762.0,128621.84128662749,11344.0,593.4230997369824,22767.037,2.11
Italy,Europe,60461828.0,271515.0,4490.684601861525,5214766.0,86248.89740349895,35497.0,587.0976974100089,35220.084,3.18
Brazil,South America,212559409.0,3997865.0,18808.224104537287,4797948.0,22572.26825466004,123780.0,582.3313142538893,14103.452,2.2
Sweden,Europe,10099270.0,84532.0,8370.109918835718,,,5820.0,576.2792756308129,46949.283,2.22
