F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
0,2595,Midtown,40.75362,-73.98377,Entire home/apt,225,15,10,48,0.39,1
1,3831,Brooklyn,40.68514,-73.95976,Entire home/apt,89,188,1,295,4.67,1
2,5099,Manhattan,40.74767,-73.975,Entire home/apt,200,362,3,78,0.6,19
3,5121,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,0,29,49,0.38,365
4,5178,Manhattan,40.76489,-73.98493,Private room,79,141,2,454,3.52,242
6,5238,Lower East Side,40.71344,-73.99037,Entire home/apt,150,86,1,161,1.29,1
7,5441,Manhattan,40.76076,-73.98867,Private room,85,323,3,204,1.56,10
8,5803,Park Slope,40.66829,-73.98779,Private room,89,12,4,175,1.35,0
9,6090,Manhattan,40.7353,-74.00525,Entire home/apt,120,226,180,27,0.22,271
10,6848,Williamsburg,40.70837,-73.95352,Entire home/apt,140,319,2,170,1.33,0
11,7097,Brooklyn,40.69169,-73.97185,Entire home/apt,199,15,1,215,1.79,0
13,7726,Brooklyn,40.67592,-73.94694,Entire home/apt,99,172,3,75,4.43,63
15,7801,Brooklyn,40.71842,-73.95718,Entire home/apt,299,14,3,9,0.07,1
16,8024,Park Slope,40.68069,-73.97706,Private room,115,4,1,143,1.15,0
17,8025,Brooklyn,40.67989,-73.97798,Private room,80,4,1,41,0.37,150
18,8110,Brooklyn,40.68001,-73.97865,Private room,32,15,2,77,0.64,0
19,8490,Brooklyn,40.68371,-73.94028,Entire home/apt,120,63,2,105,0.84,296
20,8505,Brooklyn,40.65599,-73.97519,Private room,60,289,1,23,1.22,78
22,9518,Manhattan,40.86482,-73.92106,Private room,44,12,3,114,1.12,353
23,9657,East Village,40.7292,-73.98542,Entire home/apt,180,30,10,33,0.26,86
24,9668,Harlem,40.82245,-73.95104,Private room,50,17,3,256,2.07,361
25,9704,Harlem,40.81305,-73.95466,Private room,52,145,2,97,1.45,326
27,9783,Hamilton Heights,40.8213,-73.95318,Private room,50,13,3,286,2.37,1
28,10452,Brooklyn,40.6831,-73.95473,Private room,70,115,1,75,0.64,251
29,10962,Brooklyn,40.66869,-73.9878,Private room,89,26,4,177,1.43,349
31,11708,Bushwick,40.70186,-73.92745,Entire home/apt,85,301,2,253,2.06,43
33,12048,Lower East Side,40.71401,-73.98917,Shared room,40,76,1,219,1.78,0
34,12192,Alphabet City,40.7229,-73.98199,Private room,68,297,2,258,2.1,62
35,12318,Manhattan,40.79009,-73.97927,Private room,135,93,4,89,0.73,287
36,12343,Manhattan,40.81175,-73.94478,Entire home/apt,150,91,7,106,0.88,1
37,12627,Flatbush,40.65944,-73.96238,Entire home/apt,150,211,29,12,0.44,61
38,12937,Long Island City,40.74771,-73.9474,Private room,130,97,2,269,2.33,189
39,12940,Clinton Hill,40.68111,-73.95591,Entire home/apt,110,301,7,64,0.53,339
40,13050,Brooklyn,40.68554,-73.9409,Entire home/apt,120,268,3,12,0.1,0
41,13394,Fort Greene,40.69142,-73.97376,Private room,80,28,3,142,1.17,281
42,13808,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,172,1,135,1.17,223
43,14287,Upper West Side,40.78635,-73.97008,Entire home/apt,151,60,3,86,0.71,56
44,14290,Williamsburg,40.7042,-73.9356,Entire home/apt,228,205,3,88,0.72,170
45,14314,Greenpoint,40.73506,-73.95392,Entire home/apt,149,133,2,366,3.01,269
46,14322,Kips Bay,40.73961,-73.98074,Entire home/apt,200,137,7,19,0.2,324
47,14377,Williamsburg,40.70881,-73.9593,Entire home/apt,150,360,30,111,0.91,0
48,14468,Manhattan,40.74354,-73.98122,Private room,85,90,3,20,0.71,310
49,14991,Manhattan,40.72004,-73.99104,Private room,110,13,5,19,0.16,323
50,15220,Hell's Kitchen,40.75531,-73.99293,Private room,69,89,2,311,2.57,1
51,15338,Brooklyn,40.72401,-73.93788,Private room,49,24,4,146,1.21,353
52,15341,Manhattan,40.7221,-73.99775,Entire home/apt,180,267,14,25,0.33,11
53,15385,Williamsburg,40.71185,-73.96204,Private room,90,33,2,46,0.4,221
56,15729,Brooklyn,40.67695,-74.01121,Private room,89,26,12,25,0.22,1
57,16326,Brooklyn,40.67811,-73.96428,Entire home/apt,200,182,30,147,1.31,335
58,16338,Clinton Hill,40.69,-73.96788,Private room,45,85,7,27,0.22,240
59,16421,Midtown,40.75979,-73.99119,Private room,52,142,30,193,1.59,235
61,16580,East Village,40.72649,-73.97904,Private room,80,242,1,379,4.95,136
62,16595,Brooklyn,40.70933,-73.96792,Entire home/apt,250,3,1,163,1.47,363
63,16821,Alphabet City,40.72298,-73.98474,Private room,99,18,1,113,1.27,356
64,16974,East Harlem,40.80164,-73.93922,Entire home/apt,225,155,4,206,1.7,0
66,17092,Hell's Kitchen,40.76342,-73.98865,Private room,51,121,5,27,0.47,116
67,17693,Manhattan,40.83139,-73.94095,Private room,65,29,2,59,1.66,358
68,17747,Clinton Hill,40.68346,-73.96374,Private room,105,115,2,124,1.04,0
69,18127,Manhattan,40.72828,-73.98801,Entire home/apt,170,113,5,21,0.19,333
70,18195,Queens,40.7459,-73.90764,Private room,90,55,7,20,0.17,143
71,18590,Fort Greene,40.6932,-73.97267,Private room,95,219,3,150,1.28,0
72,18728,Meatpacking District,40.74138,-74.00197,Private room,150,74,4,180,1.69,296
73,18764,Williamsburg,40.71154,-73.96112,Private room,145,54,3,63,0.53,324
74,19159,Harlem,40.82915,-73.95136,Entire home/apt,110,65,31,55,0.48,190
75,19169,Lower East Side,40.71851,-73.98892,Entire home/apt,285,111,5,76,0.64,1
76,19282,Flatbush,40.65401,-73.96323,Entire home/apt,130,362,6,17,0.15,94
77,19601,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,2000,211,1,25,0.23,93
78,19812,Brooklyn,40.71833,-73.95748,Entire home/apt,105,62,3,61,0.51,295
79,20299,Manhattan,40.72334,-73.9844,Private room,60,300,3,208,1.78,67
81,20611,Brooklyn,40.71156,-73.96218,Private room,85,40,3,190,1.61,1
82,20717,Prospect Heights,40.67832,-73.97243,Private room,85,11,1,32,0.43,331
83,20724,Bushwick,40.70032,-73.9383,Private room,65,29,5,30,0.33,280
84,20734,Brooklyn,40.68233,-73.97261,Entire home/apt,135,312,3,186,3.46,0
85,20755,Clinton Hill,40.68634,-73.966,Private room,98,25,7,18,0.21,342
86,20853,Brooklyn,40.68035,-73.97162,Entire home/apt,250,311,21,23,0.31,158
87,21293,Brooklyn,40.70093,-73.92609,Entire home/apt,105,302,3,131,1.11,0
88,21456,Upper West Side,40.79764,-73.96177,Entire home/apt,140,117,30,82,0.69,320
89,21644,Manhattan,40.82803,-73.94731,Private room,89,0,1,3,0.21,365
90,21794,Chelsea,40.74008,-74.00271,Private room,111,6,7,35,0.3,343
