id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,availability_2020
2595,Midtown,40.75362,-73.98377,Entire home/apt,225,15,10,48,1
3831,Brooklyn,40.68514,-73.95976,Entire home/apt,89,188,1,295,1
5099,Manhattan,40.74767,-73.975,Entire home/apt,200,362,3,78,19
5121,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,0,29,49,365
5178,Manhattan,40.76489,-73.98493,Private room,79,141,2,454,242
5238,Lower East Side,40.71344,-73.99037,Entire home/apt,150,86,1,161,1
5441,Manhattan,40.76076,-73.98867,Private room,85,323,3,204,10
5803,Park Slope,40.66829,-73.98779,Private room,89,12,4,175,0
6090,Manhattan,40.7353,-74.00525,Entire home/apt,120,226,180,27,271
6848,Williamsburg,40.70837,-73.95352,Entire home/apt,140,319,2,170,0
7097,Brooklyn,40.69169,-73.97185,Entire home/apt,199,15,1,215,0
7726,Brooklyn,40.67592,-73.94694,Entire home/apt,99,172,3,75,63
7801,Brooklyn,40.71842,-73.95718,Entire home/apt,299,14,3,9,1
8024,Park Slope,40.68069,-73.97706,Private room,115,4,1,143,0
8025,Brooklyn,40.67989,-73.97798,Private room,80,4,1,41,150
8110,Brooklyn,40.68001,-73.97865,Private room,32,15,2,77,0
8490,Brooklyn,40.68371,-73.94028,Entire home/apt,120,63,2,105,296
8505,Brooklyn,40.65599,-73.97519,Private room,60,289,1,23,78
9518,Manhattan,40.86482,-73.92106,Private room,44,12,3,114,353
9657,East Village,40.7292,-73.98542,Entire home/apt,180,30,10,33,86
9668,Harlem,40.82245,-73.95104,Private room,50,17,3,256,361
9704,Harlem,40.81305,-73.95466,Private room,52,145,2,97,326
9783,Hamilton Heights,40.8213,-73.95318,Private room,50,13,3,286,1
10452,Brooklyn,40.6831,-73.95473,Private room,70,115,1,75,251
10962,Brooklyn,40.66869,-73.9878,Private room,89,26,4,177,349
11708,Bushwick,40.70186,-73.92745,Entire home/apt,85,301,2,253,43
12048,Lower East Side,40.71401,-73.98917,Shared room,40,76,1,219,0
12192,Alphabet City,40.7229,-73.98199,Private room,68,297,2,258,62
12318,Manhattan,40.79009,-73.97927,Private room,135,93,4,89,287
12343,Manhattan,40.81175,-73.94478,Entire home/apt,150,91,7,106,1
12627,Flatbush,40.65944,-73.96238,Entire home/apt,150,211,29,12,61
12937,Long Island City,40.74771,-73.9474,Private room,130,97,2,269,189
12940,Clinton Hill,40.68111,-73.95591,Entire home/apt,110,301,7,64,339
13050,Brooklyn,40.68554,-73.9409,Entire home/apt,120,268,3,12,0
13394,Fort Greene,40.69142,-73.97376,Private room,80,28,3,142,281
13808,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,172,1,135,223
14287,Upper West Side,40.78635,-73.97008,Entire home/apt,151,60,3,86,56
14290,Williamsburg,40.7042,-73.9356,Entire home/apt,228,205,3,88,170
14314,Greenpoint,40.73506,-73.95392,Entire home/apt,149,133,2,366,269
14322,Kips Bay,40.73961,-73.98074,Entire home/apt,200,137,7,19,324
14377,Williamsburg,40.70881,-73.9593,Entire home/apt,150,360,30,111,0
14468,Manhattan,40.74354,-73.98122,Private room,85,90,3,20,310
14991,Manhattan,40.72004,-73.99104,Private room,110,13,5,19,323
15220,Hell's Kitchen,40.75531,-73.99293,Private room,69,89,2,311,1
15338,Brooklyn,40.72401,-73.93788,Private room,49,24,4,146,353
15341,Manhattan,40.7221,-73.99775,Entire home/apt,180,267,14,25,11
15385,Williamsburg,40.71185,-73.96204,Private room,90,33,2,46,221
15729,Brooklyn,40.67695,-74.01121,Private room,89,26,12,25,1
16326,Brooklyn,40.67811,-73.96428,Entire home/apt,200,182,30,147,335
16338,Clinton Hill,40.69,-73.96788,Private room,45,85,7,27,240
16421,Midtown,40.75979,-73.99119,Private room,52,142,30,193,235
16580,East Village,40.72649,-73.97904,Private room,80,242,1,379,136
16595,Brooklyn,40.70933,-73.96792,Entire home/apt,250,3,1,163,363
16821,Alphabet City,40.72298,-73.98474,Private room,99,18,1,113,356
16974,East Harlem,40.80164,-73.93922,Entire home/apt,225,155,4,206,0
17092,Hell's Kitchen,40.76342,-73.98865,Private room,51,121,5,27,116
17693,Manhattan,40.83139,-73.94095,Private room,65,29,2,59,358
17747,Clinton Hill,40.68346,-73.96374,Private room,105,115,2,124,0
18127,Manhattan,40.72828,-73.98801,Entire home/apt,170,113,5,21,333
18195,Queens,40.7459,-73.90764,Private room,90,55,7,20,143
18590,Fort Greene,40.6932,-73.97267,Private room,95,219,3,150,0
18728,Meatpacking District,40.74138,-74.00197,Private room,150,74,4,180,296
18764,Williamsburg,40.71154,-73.96112,Private room,145,54,3,63,324
19159,Harlem,40.82915,-73.95136,Entire home/apt,110,65,31,55,190
19169,Lower East Side,40.71851,-73.98892,Entire home/apt,285,111,5,76,1
19282,Flatbush,40.65401,-73.96323,Entire home/apt,130,362,6,17,94
19601,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,2000,211,1,25,93
19812,Brooklyn,40.71833,-73.95748,Entire home/apt,105,62,3,61,295
20299,Manhattan,40.72334,-73.9844,Private room,60,300,3,208,67
20611,Brooklyn,40.71156,-73.96218,Private room,85,40,3,190,1
20717,Prospect Heights,40.67832,-73.97243,Private room,85,11,1,32,331
20724,Bushwick,40.70032,-73.9383,Private room,65,29,5,30,280
20734,Brooklyn,40.68233,-73.97261,Entire home/apt,135,312,3,186,0
20755,Clinton Hill,40.68634,-73.966,Private room,98,25,7,18,342
20853,Brooklyn,40.68035,-73.97162,Entire home/apt,250,311,21,23,158
21293,Brooklyn,40.70093,-73.92609,Entire home/apt,105,302,3,131,0
21456,Upper West Side,40.79764,-73.96177,Entire home/apt,140,117,30,82,320
21644,Manhattan,40.82803,-73.94731,Private room,89,0,1,3,365
21794,Chelsea,40.74008,-74.00271,Private room,111,6,7,35,343
22911,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,115,7,139,230
23135,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,7,2,254,348
23686,West Village,40.73096,-74.00319,Entire home/apt,500,118,5,48,253
24143,Brooklyn,40.71332,-73.94177,Private room,101,46,3,344,153
24285,Brooklyn,40.66941,-73.98109,Entire home/apt,220,44,30,88,9
25235,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,138,5,167,1
25406,Williamsburg,40.71459,-73.94844,Entire home/apt,80,7,30,29,0
25696,Manhattan,40.8092,-73.94421,Private room,100,30,2,188,343
26012,Gowanus,40.68157,-73.98989,Entire home/apt,200,323,30,20,64
26362,Midtown,40.75527,-73.99291,Private room,59,59,2,357,310
26520,Brooklyn,40.68698,-73.96572,Private room,125,84,2,26,352
26559,Manhattan,40.7288,-73.98192,Entire home/apt,140,50,7,12,157
26785,Park Slope,40.66853,-73.98912,Entire home/apt,120,57,30,469,0
26969,Williamsburg,40.71942,-73.95748,Entire home/apt,325,266,3,341,154
27385,East Village,40.72555,-73.97965,Entire home/apt,225,47,1,123,340
27531,Park Slope,40.66831,-73.98604,Private room,99,294,2,360,0
27644,Hamilton Heights,40.82754,-73.94919,Entire home/apt,170,13,2,207,348
27659,Brooklyn,40.66499,-73.97925,Entire home/apt,400,45,2,16,331
27759,Manhattan,40.77842,-73.97556,Entire home/apt,170,275,7,18,97
28321,Lefferts Garden,40.65593,-73.96053,Private room,75,4,2,9,355
28907,Manhattan,40.778,-73.94822,Entire home/apt,150,364,5,21,1
29013,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,73,3,63,260
29455,Manhattan,40.81618,-73.94894,Entire home/apt,120,75,30,162,296
29628,Brooklyn,40.68414,-73.96351,Private room,89,38,3,276,306
31130,Manhattan,40.76754,-73.98399,Private room,130,24,30,60,318
31902,Flatlands,40.63188,-73.93248,Private room,77,187,2,4,178
31994,Clinton Hill,40.6873,-73.9634,Private room,76,53,2,442,0
32023,Brooklyn,40.68296,-73.93662,Entire home/apt,125,142,3,253,239
32037,Brooklyn,40.6863,-73.96765,Private room,135,4,4,90,356
32100,Greenpoint,40.73409,-73.95348,Entire home/apt,250,302,29,3,156
32289,Brooklyn,40.71561,-73.94835,Entire home/apt,199,165,3,10,30
32329,Manhattan,40.72895,-73.98377,Entire home/apt,160,13,14,3,349
32363,Kew Garden Hills,40.74028,-73.83168,Private room,140,242,2,1,63
32965,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,132,3,136,225
32969,Brooklyn,40.71596,-73.93938,Entire home/apt,160,31,3,11,206
33009,Brooklyn,40.71492,-73.95935,Entire home/apt,195,26,4,249,290
33223,Williamsburg,40.71165,-73.96087,Private room,80,40,3,213,316
34760,Fort Greene,40.69101,-73.97312,Private room,44,51,8,28,0
