BRONX CONDOMINIUM PROPERTY Boro-Block-Lot,BRONX CONDOMINIUM PROPERTY Condo Section,BRONX CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,BRONX CONDOMINIUM PROPERTY Neighborhood,BRONX CONDOMINIUM PROPERTY Building Classification,BRONX CONDOMINIUM PROPERTY Total Units,BRONX CONDOMINIUM PROPERTY Year Built,BRONX CONDOMINIUM PROPERTY Gross SqFt,BRONX CONDOMINIUM PROPERTY Est. Gross Income,BRONX CONDOMINIUM PROPERTY Gross Income per SqFt,BRONX CONDOMINIUM PROPERTY Full Market Value,BRONX CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
2-05798-7501,62-R1,"{'latitude': '40.887113738105', 'longitude': '-73.909524216124', 'human_address': '{""address"": ""3614 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.887152,-73.909538,8,11,295,2103161,2057987501,Spuyten Duyvil-Kingsbridge                                                 ,RIVERDALE,R4-ELEVATOR,15,2002,14969,282914,18.9,1150000,77,2-03145-0025,"{'latitude': '40.856378494868', 'longitude': '-73.897432319013', 'human_address': '{""address"": ""2283 TIEBOUT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",FORDHAM,C1-WALK-UP,16,1925,9424,127387,13.52,360000,38.2,2.25,2-05798-0101,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,0
2-04664-7501,75-R1,"{'latitude': '40.881931979407', 'longitude': '-73.862931656682', 'human_address': '{""address"": ""720 217 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,,,,,,,,,,WILLIAMSBRIDGE,R2-WALK-UP,24,2006,19225,322299,16.76,1310008,68,2-03740-0052,"{'latitude': '40.827268105001', 'longitude': '-73.877961486893', 'human_address': '{""address"": ""1145 BOYNTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",SOUNDVIEW,C1-WALK-UP,25,1926,18720,181027,9.67,612000,32.7,3.8,2-03973-0036,"{'latitude': '40.837704045804', 'longitude': '-73.845588603102', 'human_address': '{""address"": ""1405 ROWLAND STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",WESTCHESTER,C1-WALK-UP,27,1927,22560,216715,9.61,732000,32.4,3.1
2-02686-7501,53-R1,"{'latitude': '40.815857524884', 'longitude': '-73.900758859845', 'human_address': '{""address"": ""717 KELLY STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10455,40.815812,-73.900773,2,17,83,2005136,2026867501,Longwood                                                                   ,MORRISANIA/LONGWOOD,R2-WALK-UP,13,1909,14384,165416,11.5,583003,40.5,2-02427-0001,"{'latitude': '40.832463162195', 'longitude': '-73.910076878871', 'human_address': '{""address"": ""391 168 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MELROSE/CONCOURSE,C7-WALK-UP,16,1923,11055,116955,10.58,395000,35.7,1.25,2-02301-0029,"{'latitude': '40.809276530791', 'longitude': '-73.923225016891', 'human_address': '{""address"": ""389 138 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,18,1931,13083,151045,11.55,532000,40.7,1.25
2-03929-7501,23-R3,"{'latitude': '40.834645270932', 'longitude': '-73.860803851419', 'human_address': '{""address"": ""1925 MC GRAW AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10462,40.834627,-73.86086,9,18,212,2096672,2039387501,Parkchester                                                                ,PARKCHESTER,R4-ELEVATOR,2659,1933,2723821,23206954,8.52,76499825,28.1,2-03925-0018,"{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1198097,9.18,3950000,30.3,0.5,2-04286-0022,"{'latitude': '40.853699684387', 'longitude': '-73.869138050698', 'human_address': '{""address"": ""2100 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1651470,9.77,5580000,33,1.3
2-05787-7501,30-R1,"{'latitude': '40.884102974299', 'longitude': '-73.911460483502', 'human_address': '{""address"": ""3240 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.884288,-73.911426,8,11,297,2088671,2057877501,Spuyten Duyvil-Kingsbridge                                                 ,RIVERDALE,R4-ELEVATOR,15,1988,10108,187200,18.52,760999,75,2-03145-0025,"{'latitude': '40.856378494868', 'longitude': '-73.897432319013', 'human_address': '{""address"": ""2283 TIEBOUT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",FORDHAM,C1-WALK-UP,16,1925,9424,127387,13.52,360000,38.2,2.1,2-05798-0101,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,0.2
2-03432-7501,33-R5,"{'latitude': '40.806653690769', 'longitude': '-73.853452633648', 'human_address': '{""address"": ""201 SUNSET BOULEVARD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10473,40.806696,-73.853376,9,18,4,2099274,2034327501,Soundview-Castle Hill-Clason Point-Harding Park                            ,SOUNDVIEW,R2-WALK-UP,18,1989,20304,258876,12.75,972999,47.9,2-03802-0028,"{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,279547,13.33,1050000,50,1.65,2-05844-1935,"{'latitude': '40.902340245832', 'longitude': '-73.898609426903', 'human_address': '{""address"": ""5431 SYLVAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,C1-WALK-UP,24,1972,18756,236069,12.59,887000,47.3,7
2-05798-7502,67-R1,"{'latitude': '40.887109701748', 'longitude': '-73.908604553516', 'human_address': '{""address"": ""3625 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.887159,-73.90859,8,11,295,2112823,2057987502,Spuyten Duyvil-Kingsbridge                                                 ,RIVERDALE,R4-ELEVATOR,23,2005,40468,607020,15,2410001,60,2-05716-0287,"{'latitude': '40.880092839955', 'longitude': '-73.92234413928', 'human_address': '{""address"": ""2475 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,25,1932,31098,472245,15.19,1920000,62,0.9,2-05907-0348,"{'latitude': '40.888932645311', 'longitude': '-73.911592854676', 'human_address': '{""address"": ""3725 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",RIVERDALE,D1-ELEVATOR,42,1968,41803,582915,13.94,2310000,55,0.2
2-03261-7501,81-R1,"{'latitude': '40.878287557991', 'longitude': '-73.901131318804', 'human_address': '{""address"": ""3097 HEATH AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10463,40.878384,-73.90099,8,14,277,2114270,2032617501,Van Cortlandt Village                                                      ,KINGSBRIDGE/JEROME PARK,R2-WALK-UP,16,2006,21861,409136,18.72,1660000,76,2-03199-0007,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2392 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,16,2005,15712,345664,22,1540000,98,1.25,2-05090-0019,"{'latitude': '40.899207278895', 'longitude': '-73.850339896766', 'human_address': '{""address"": ""4524 BARNES AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",WAKEFIELD,C1-WALK-UP,16,1929,15000,137400,9.16,453000,30.2,2.95
2-05944-7501,38-R1,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4961 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10471,40.897679,-73.908192,8,11,30701,2096388,2059447501,North Riverdale-Fieldston-Riverdale                                        ,RIVERDALE,R2-WALK-UP,12,1940,15934,207142,13,778999,48.9,2-05333-0106,"{'latitude': '40.836009927639', 'longitude': '-73.830171089', 'human_address': '{""address"": ""1235 BRADFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",SCHUYLERVILLE/PELHAM BAY,C1-WALK-UP,13,1929,6510,100417,15.43,408000,63,5.9,2-05396-0001,"{'latitude': '40.842879852411', 'longitude': '-73.831004493703', 'human_address': '{""address"": ""1544 GILLESPIE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",SCHUYLERVILLE/PELHAM BAY,C7-WALK-UP,24,1929,17512,226437,12.93,851000,48.6,5.5
2-05529-7502,82-R1,"{'latitude': '40.809043687035', 'longitude': '-73.801683614657', 'human_address': '{""address"": ""1 PENNYFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2,10465,40.809183,-73.802082,10,13,118,2101498,2055297502,Schuylerville-Throgs Neck-Edgewater Park                                   ,THROGS NECK,R2-WALK-UP,45,1998,63738,557707,8.75,1840002,28.9,2-03212-0021,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2290 DR"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,52,1959,52204,465805,8.92,1540000,29.5,6.3,2-05703-0183,"{'latitude': '40.878974479573', 'longitude': '-73.907338647933', 'human_address': '{""address"": ""3044 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",KINGSBRIDGE/JEROME PARK,C1-WALK-UP,38,1973,38873,338345,8.7,1120000,28.8,7.1
