temperature,rainfall,humidity,yield_apples2
74.00,62.00,68.00,68.60
78.00,62.00,74.00,72.80
67.00,89.00,74.00,74.90
41.00,48.00,95.00,69.40
84.00,47.00,89.00,79.10
42.00,81.00,41.00,49.30
61.00,58.00,53.00,56.40
86.00,95.00,53.00,71.30
48.00,50.00,87.00,67.90
91.00,63.00,62.00,70.90
51.00,97.00,77.00,73.20
97.00,84.00,49.00,70.40
86.00,97.00,75.00,82.70
94.00,83.00,91.00,90.30
56.00,68.00,59.00,59.90
87.00,43.00,66.00,67.70
47.00,67.00,76.00,65.50
85.00,96.00,41.00,65.20
49.00,48.00,88.00,68.30
45.00,68.00,59.00,56.60
49.00,65.00,50.00,52.70
75.00,58.00,80.00,74.10
67.00,70.00,93.00,80.60
51.00,90.00,90.00,78.30
77.00,62.00,44.00,57.50
67.00,59.00,64.00,63.90
90.00,48.00,72.00,72.60
49.00,73.00,69.00,63.80
52.00,53.00,69.00,60.70
45.00,74.00,67.00,61.80
84.00,41.00,74.00,70.40
97.00,65.00,66.00,75.10
67.00,56.00,86.00,74.30
80.00,87.00,49.00,65.90
45.00,65.00,67.00,60.00
95.00,84.00,89.00,89.80
79.00,88.00,54.00,68.30
79.00,72.00,68.00,72.10
42.00,80.00,87.00,72.10
95.00,59.00,95.00,87.80
62.00,95.00,86.00,80.60
42.00,66.00,94.00,72.80
42.00,91.00,52.00,56.80
59.00,88.00,91.00,80.80
72.00,77.00,93.00,83.50
44.00,48.00,64.00,54.80
87.00,86.00,70.00,78.30
67.00,69.00,74.00,70.90
74.00,86.00,47.00,62.90
80.00,59.00,82.00,76.80
67.00,72.00,50.00,59.50
72.00,91.00,74.00,76.80
52.00,84.00,62.00,63.40
42.00,82.00,85.00,71.50
70.00,80.00,83.00,78.50
48.00,92.00,95.00,80.30
63.00,41.00,75.00,64.60
86.00,40.00,84.00,75.80
98.00,63.00,57.00,70.50
45.00,93.00,46.00,55.10
87.00,75.00,89.00,85.60
42.00,89.00,86.00,73.40
80.00,79.00,98.00,88.80
